order, degree_x, degree_y, coefficient, term
9, 6, 3, -1 / 30240, "[[X, [[X, [X, Y]], [X, Y]]], [X, [X, Y]]]"
9, 5, 4, 1 / 100800, "[X, [X, [[X, Y], [[X, Y], [[X, Y], Y]]]]]"
9, 5, 4, 1 / 33600, "[X, [[X, [[X, Y], [[X, Y], Y]]], [X, Y]]]"
9, 4, 5, 1 / 20160, "[X, [X, [[X, Y], [[[[X, Y], Y], Y], Y]]]]"
9, 5, 4, 1 / 67200, "[[X, [X, [[X, Y], Y]]], [X, [[X, Y], Y]]]"
9, 5, 4, -17 / 100800, "[X, [[[X, [[X, Y], Y]], [X, Y]], [X, Y]]]"
9, 4, 5, 1 / 30240, "[X, [X, [[[X, Y], Y], [[[X, Y], Y], Y]]]]"
9, 5, 4, -1 / 21600, "[[X, [X, [[[X, Y], Y], Y]]], [X, [X, Y]]]"
9, 4, 5, -1 / 15120, "[X, [[X, [[[X, Y], Y], Y]], [[X, Y], Y]]]"
9, 4, 5, -1 / 7560, "[X, [[X, [[[[X, Y], Y], Y], Y]], [X, Y]]]"
9, 3, 6, -1 / 56700, "[X, [X, [[[[[[X, Y], Y], Y], Y], Y], Y]]]"
9, 5, 4, 1 / 25200, "[[X, [X, Y]], [X, [[X, Y], [[X, Y], Y]]]]"
9, 5, 4, -1 / 8400, "[[X, [X, Y]], [[X, [[X, Y], Y]], [X, Y]]]"
9, 4, 5, -1 / 17280, "[[X, [X, Y]], [X, [[[[X, Y], Y], Y], Y]]]"
9, 5, 4, -1 / 25200, "[[[X, [X, Y]], [X, Y]], [X, [[X, Y], Y]]]"
9, 5, 4, 1 / 50400, "[[[[X, [X, Y]], [X, Y]], [X, Y]], [X, Y]]"
9, 4, 5, 1 / 6048, "[X, [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]]"
9, 4, 5, -1 / 20160, "[X, [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]]"
9, 4, 5, -1 / 10080, "[[X, [[X, Y], [[[X, Y], Y], Y]]], [X, Y]]"
9, 3, 6, -23 / 302400, "[X, [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]]"
9, 4, 5, 1 / 60480, "[[X, [[X, Y], Y]], [X, [[[X, Y], Y], Y]]]"
9, 4, 5, 1 / 20160, "[[X, [[X, Y], Y]], [[X, Y], [[X, Y], Y]]]"
9, 4, 5, 1 / 20160, "[[[X, [[X, Y], Y]], [[X, Y], Y]], [X, Y]]"
9, 3, 6, -11 / 120960, "[X, [[[X, Y], Y], [[[[X, Y], Y], Y], Y]]]"
9, 4, 5, 1 / 10080, "[[[X, [[[X, Y], Y], Y]], [X, Y]], [X, Y]]"
9, 3, 6, 1 / 90720, "[[X, [[[X, Y], Y], Y]], [[[X, Y], Y], Y]]"
9, 3, 6, 1 / 60480, "[[X, [[[[X, Y], Y], Y], Y]], [[X, Y], Y]]"
9, 3, 6, 1 / 21600, "[[X, [[[[[X, Y], Y], Y], Y], Y]], [X, Y]]"
9, 2, 7, 1 / 151200, "[X, [[[[[[[X, Y], Y], Y], Y], Y], Y], Y]]"
9, 4, 5, 1 / 10080, "[[X, Y], [[X, Y], [[X, Y], [[X, Y], Y]]]]"
9, 3, 6, -1 / 7560, "[[X, Y], [[X, Y], [[[[X, Y], Y], Y], Y]]]"
9, 3, 6, -1 / 15120, "[[X, Y], [[[X, Y], Y], [[[X, Y], Y], Y]]]"
9, 3, 6, 1 / 15120, "[[[X, Y], [[[X, Y], Y], Y]], [[X, Y], Y]]"
9, 2, 7, 1 / 43200, "[[X, Y], [[[[[[X, Y], Y], Y], Y], Y], Y]]"
9, 2, 7, 1 / 33600, "[[[X, Y], Y], [[[[[X, Y], Y], Y], Y], Y]]"
