order, degree_x, degree_y, coefficient, term
)
(
    13,
    8,
    5,
    151 / 201801600,
    "[X, [X, [[X, [X, [[X, Y], [[[X, Y], Y], Y]]]], [X, [X, Y]]]]]",
)
(
    13,
    7,
    6,
    379 / 201801600,
    "[X, [X, [X, [X, [[[X, Y], [[[X, Y], Y], Y]], [[X, Y], Y]]]]]]",
)
(
    13,
    7,
    6,
    311 / 165110400,
    "[X, [X, [X, [[X, [[X, Y], [[[[X, Y], Y], Y], Y]]], [X, Y]]]]]",
)
(
    13,
    6,
    7,
    4699 / 15567552000,
    "[X, [X, [X, [X, [[X, Y], [[[[[[X, Y], Y], Y], Y], Y], Y]]]]]]",
)
(
    13,
    9,
    4,
    4309 / 87178291200,
    "[[X, [X, [X, [X, [[X, Y], Y]]]]], [X, [X, [X, [[X, Y], Y]]]]]",
)
(
    13,
    9,
    4,
    -1061 / 6227020800,
    "[X, [[X, [X, [X, [[X, Y], Y]]]], [X, [[X, [X, Y]], [X, Y]]]]]",
)
(
    13,
    8,
    5,
    631 / 1816214400,
    "[X, [X, [[X, [X, [[X, Y], Y]]], [X, [X, [[[X, Y], Y], Y]]]]]]",
)
(
    13,
    9,
    4,
    -2333 / 968647680,
    "[X, [X, [[[X, [X, [[X, Y], Y]]], [X, [X, Y]]], [X, [X, Y]]]]]",
)
(
    13,
    8,
    5,
    -19 / 36691200,
    "[X, [X, [[X, [X, [[X, Y], Y]]], [X, [[X, Y], [[X, Y], Y]]]]]]",
)
(
    13,
    8,
    5,
    -233 / 908107200,
    "[X, [X, [X, [[X, [[X, Y], Y]], [[X, [[X, Y], Y]], [X, Y]]]]]]",
)
(
    13,
    7,
    6,
    149 / 181621440,
    "[X, [X, [X, [[X, [[X, Y], Y]], [X, [[[[X, Y], Y], Y], Y]]]]]]",
)
(
    13,
    9,
    4,
    -49991 / 21794572800,
    "[X, [[X, [X, [[X, [[X, Y], Y]], [X, Y]]]], [X, [X, [X, Y]]]]]",
)
(
    13,
    8,
    5,
    -629 / 151351200,
    "[X, [X, [[X, [[X, [[X, Y], Y]], [X, Y]]], [X, [[X, Y], Y]]]]]",
)
(
    13,
    8,
    5,
    -1537 / 151351200,
    "[X, [X, [X, [[[[X, [[X, Y], Y]], [X, Y]], [X, Y]], [X, Y]]]]]",
)
(
    13,
    7,
    6,
    -251 / 605404800,
    "[X, [X, [X, [[X, [[X, Y], Y]], [[X, Y], [[[X, Y], Y], Y]]]]]]",
)
(
    13,
    8,
    5,
    -5689 / 1210809600,
    "[X, [X, [[X, [[X, [[X, Y], Y]], [[X, Y], Y]]], [X, [X, Y]]]]]",
)
(
    13,
    7,
    6,
    -3667 / 1210809600,
    "[X, [X, [X, [[[X, [[X, Y], Y]], [[X, Y], Y]], [[X, Y], Y]]]]]",
)
(
    13,
    7,
    6,
    -337 / 100900800,
    "[X, [X, [X, [[X, [[[X, Y], Y], [[[X, Y], Y], Y]]], [X, Y]]]]]",
)
(
    13,
    6,
    7,
    2113 / 5189184000,
    "[X, [X, [X, [X, [[[X, Y], Y], [[[[[X, Y], Y], Y], Y], Y]]]]]]",
)
(
    13,
    9,
    4,
    -691 / 5943974400,
    "[[X, [X, [X, [X, [[[X, Y], Y], Y]]]]], [X, [X, [X, [X, Y]]]]]",
)
(
    13,
    8,
    5,
    19 / 605404800,
    "[X, [[X, [X, [X, [[[X, Y], Y], Y]]]], [X, [X, [[X, Y], Y]]]]]",
)
(
    13,
    8,
    5,
    -841 / 363242880,
    "[X, [X, [[X, [X, [[[X, Y], Y], Y]]], [[X, [X, Y]], [X, Y]]]]]",
)
(
    13,
    7,
    6,
    -191 / 605404800,
    "[X, [X, [[X, [X, [[[X, Y], Y], Y]]], [X, [[[X, Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    -3071 / 302702400,
    "[X, [X, [[X, [[X, [[[X, Y], Y], Y]], [X, Y]]], [X, [X, Y]]]]]",
)
(
    13,
    7,
    6,
    -1487 / 302702400,
    "[X, [X, [X, [[X, [[[X, Y], Y], Y]], [[X, Y], [[X, Y], Y]]]]]]",
)
(
    13,
    7,
    6,
    -215 / 12108096,
    "[X, [X, [X, [[[X, [[[X, Y], Y], Y]], [[X, Y], Y]], [X, Y]]]]]",
)
(
    13,
    6,
    7,
    -367 / 622702080,
    "[X, [X, [X, [X, [[[[X, Y], Y], Y], [[[[X, Y], Y], Y], Y]]]]]]",
)
13, 8, 5, -4 / 4729725, "[X, [[X, [X, [X, [[[[X, Y], Y], Y], Y]]]], [X, [X, [X, Y]]]]]"
(
    13,
    7,
    6,
    -1343 / 1210809600,
    "[X, [X, [[X, [X, [[[[X, Y], Y], Y], Y]]], [X, [[X, Y], Y]]]]]",
)
(
    13,
    7,
    6,
    -29789 / 3632428800,
    "[X, [X, [X, [[[X, [[[[X, Y], Y], Y], Y]], [X, Y]], [X, Y]]]]]",
)
(
    13,
    6,
    7,
    -4679 / 1556755200,
    "[X, [X, [X, [[X, [[[[X, Y], Y], Y], Y]], [[[X, Y], Y], Y]]]]]",
)
(
    13,
    7,
    6,
    -2437 / 1210809600,
    "[X, [X, [[X, [X, [[[[[X, Y], Y], Y], Y], Y]]], [X, [X, Y]]]]]",
)
(
    13,
    6,
    7,
    -7289 / 2594592000,
    "[X, [X, [X, [[X, [[[[[X, Y], Y], Y], Y], Y]], [[X, Y], Y]]]]]",
)
(
    13,
    6,
    7,
    -3791 / 1945944000,
    "[X, [X, [X, [[X, [[[[[[X, Y], Y], Y], Y], Y], Y]], [X, Y]]]]]",
)
(
    13,
    5,
    8,
    -127 / 1135134000,
    "[X, [X, [X, [X, [[[[[[[[X, Y], Y], Y], Y], Y], Y], Y], Y]]]]]",
)
(
    13,
    10,
    3,
    -83 / 864864000,
    "[[X, [X, [X, [X, Y]]]], [X, [[X, [X, [X, Y]]], [X, [X, Y]]]]]",
)
(
    13,
    9,
    4,
    97 / 10897286400,
    "[[X, [X, [X, [X, Y]]]], [X, [X, [X, [[X, Y], [[X, Y], Y]]]]]]",
)
(
    13,
    9,
    4,
    -7213 / 10897286400,
    "[[X, [X, [X, [X, Y]]]], [X, [X, [[X, [[X, Y], Y]], [X, Y]]]]]",
)
(
    13,
    8,
    5,
    -691 / 2641766400,
    "[[X, [X, [X, [X, Y]]]], [X, [X, [X, [[[[X, Y], Y], Y], Y]]]]]",
)
(
    13,
    10,
    3,
    61 / 1556755200,
    "[[[X, [X, [X, [X, Y]]]], [X, [X, [X, Y]]]], [X, [X, [X, Y]]]]",
)
(
    13,
    9,
    4,
    8707 / 14529715200,
    "[X, [[X, [X, [X, Y]]], [X, [[X, [X, Y]], [X, [[X, Y], Y]]]]]]",
)
(
    13,
    9,
    4,
    -12787 / 7264857600,
    "[X, [[X, [X, [X, Y]]], [X, [[[X, [X, Y]], [X, Y]], [X, Y]]]]]",
)
(
    13,
    8,
    5,
    1861 / 2421619200,
    "[X, [[X, [X, [X, Y]]], [X, [X, [[X, Y], [[[X, Y], Y], Y]]]]]]",
)
(
    13,
    9,
    4,
    -3187 / 1452971520,
    "[X, [[X, [X, [X, Y]]], [[X, [X, [[X, Y], Y]]], [X, [X, Y]]]]]",
)
(
    13,
    8,
    5,
    -34751 / 14529715200,
    "[X, [[X, [X, [X, Y]]], [X, [[X, [[X, Y], Y]], [[X, Y], Y]]]]]",
)
(
    13,
    8,
    5,
    -2881 / 518918400,
    "[X, [[X, [X, [X, Y]]], [X, [[X, [[[X, Y], Y], Y]], [X, Y]]]]]",
)
(
    13,
    7,
    6,
    -1567 / 1345344000,
    "[X, [[X, [X, [X, Y]]], [X, [X, [[[[[X, Y], Y], Y], Y], Y]]]]]",
)
(
    13,
    9,
    4,
    -2861 / 4843238400,
    "[X, [[[X, [X, [X, Y]]], [X, [X, Y]]], [X, [X, [[X, Y], Y]]]]]",
)
(
    13,
    9,
    4,
    1343 / 726485760,
    "[X, [X, [[X, [X, Y]], [[X, [X, Y]], [[X, [X, Y]], [X, Y]]]]]]",
)
(
    13,
    8,
    5,
    7439 / 2421619200,
    "[X, [X, [[X, [X, Y]], [[X, [X, Y]], [X, [[[X, Y], Y], Y]]]]]]",
)
(
    13,
    9,
    4,
    -271 / 1816214400,
    "[X, [[X, [[X, [X, Y]], [[X, [X, Y]], [X, Y]]]], [X, [X, Y]]]]",
)
(
    13,
    8,
    5,
    -19109 / 7264857600,
    "[X, [X, [[X, [X, Y]], [X, [[X, Y], [[X, Y], [[X, Y], Y]]]]]]]",
)
(
    13,
    8,
    5,
    -2657 / 660441600,
    "[X, [X, [[X, [X, Y]], [[X, [[X, Y], [[X, Y], Y]]], [X, Y]]]]]",
)
(
    13,
    7,
    6,
    1961 / 908107200,
    "[X, [X, [[X, [X, Y]], [X, [[X, Y], [[[[X, Y], Y], Y], Y]]]]]]",
)
(
    13,
    9,
    4,
    -263 / 908107200,
    "[[X, [X, [[X, [X, Y]], [X, [[X, Y], Y]]]]], [X, [X, [X, Y]]]]",
)
(
    13,
    8,
    5,
    -257 / 193729536,
    "[X, [X, [[[X, [X, Y]], [X, [[X, Y], Y]]], [X, [[X, Y], Y]]]]]",
)
(
    13,
    8,
    5,
    -3583 / 207567360,
    "[X, [X, [[X, [X, Y]], [[[X, [[X, Y], Y]], [X, Y]], [X, Y]]]]]",
)
(
    13,
    7,
    6,
    -67 / 48432384,
    "[X, [X, [[X, [X, Y]], [X, [[[X, Y], Y], [[[X, Y], Y], Y]]]]]]",
)
(
    13,
    8,
    5,
    -24251 / 7264857600,
    "[X, [[X, [[X, [X, Y]], [X, [[[X, Y], Y], Y]]]], [X, [X, Y]]]]",
)
(
    13,
    7,
    6,
    -41963 / 3632428800,
    "[X, [X, [[X, [X, Y]], [[X, [[[X, Y], Y], Y]], [[X, Y], Y]]]]]",
)
(
    13,
    7,
    6,
    -21269 / 1816214400,
    "[X, [X, [[X, [X, Y]], [[X, [[[[X, Y], Y], Y], Y]], [X, Y]]]]]",
)
(
    13,
    6,
    7,
    -15571 / 10378368000,
    "[X, [X, [[X, [X, Y]], [X, [[[[[[X, Y], Y], Y], Y], Y], Y]]]]]",
)
(
    13,
    9,
    4,
    -1549 / 10897286400,
    "[[X, [X, [[X, [X, Y]], [X, Y]]]], [X, [X, [X, [[X, Y], Y]]]]]",
)
(
    13,
    9,
    4,
    67 / 444787200,
    "[[X, [X, [[X, [X, Y]], [X, Y]]]], [X, [[X, [X, Y]], [X, Y]]]]",
)
(
    13,
    8,
    5,
    -199 / 302702400,
    "[X, [[X, [[X, [X, Y]], [X, Y]]], [X, [X, [[[X, Y], Y], Y]]]]]",
)
13, 9, 4, 37 / 10762752, "[X, [[[X, [[X, [X, Y]], [X, Y]]], [X, [X, Y]]], [X, [X, Y]]]]"
13, 8, 5, 67 / 80720640, "[X, [X, [[[X, [X, Y]], [X, Y]], [X, [[X, Y], [[X, Y], Y]]]]]]"
(
    13,
    8,
    5,
    -1003 / 151351200,
    "[X, [X, [[[X, [X, Y]], [X, Y]], [[X, [[X, Y], Y]], [X, Y]]]]]",
)
(
    13,
    7,
    6,
    -9761 / 2421619200,
    "[X, [X, [[[X, [X, Y]], [X, Y]], [X, [[[[X, Y], Y], Y], Y]]]]]",
)
(
    13,
    9,
    4,
    443 / 681080400,
    "[[X, [X, [[[X, [X, Y]], [X, Y]], [X, Y]]]], [X, [X, [X, Y]]]]",
)
(
    13,
    8,
    5,
    349 / 302702400,
    "[X, [X, [[[[X, [X, Y]], [X, Y]], [X, Y]], [X, [[X, Y], Y]]]]]",
)
(
    13,
    8,
    5,
    3167 / 1210809600,
    "[X, [X, [[[[[X, [X, Y]], [X, Y]], [X, Y]], [X, Y]], [X, Y]]]]",
)
13, 7, 6, -3 / 22422400, "[X, [X, [X, [[X, Y], [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]]]]]"
(
    13,
    8,
    5,
    25813 / 7264857600,
    "[X, [[X, [X, [[X, Y], [[X, Y], [[X, Y], Y]]]]], [X, [X, Y]]]]",
)
(
    13,
    7,
    6,
    2633 / 605404800,
    "[X, [X, [X, [[X, Y], [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]]]]]",
)
(
    13,
    7,
    6,
    1037 / 121080960,
    "[X, [X, [[X, [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]], [X, Y]]]]",
)
(
    13,
    6,
    7,
    9431 / 5189184000,
    "[X, [X, [X, [[X, Y], [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]]]]]",
)
(
    13,
    8,
    5,
    53 / 3632428800,
    "[X, [[X, [X, [[X, Y], [[X, Y], Y]]]], [X, [X, [[X, Y], Y]]]]]",
)
(
    13,
    8,
    5,
    263 / 259459200,
    "[X, [[X, [X, [[X, Y], [[X, Y], Y]]]], [[X, [X, Y]], [X, Y]]]]",
)
(
    13,
    7,
    6,
    -493 / 363242880,
    "[X, [X, [[X, [[X, Y], [[X, Y], Y]]], [X, [[[X, Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    32567 / 7264857600,
    "[X, [[X, [[X, [[X, Y], [[X, Y], Y]]], [X, Y]]], [X, [X, Y]]]]",
)
(
    13,
    7,
    6,
    2351 / 1210809600,
    "[X, [X, [[X, [[X, Y], [[X, Y], Y]]], [[X, Y], [[X, Y], Y]]]]]",
)
(
    13,
    7,
    6,
    -491 / 201801600,
    "[X, [X, [[X, [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]], [X, Y]]]]",
)
(
    13,
    6,
    7,
    653 / 415134720,
    "[X, [X, [X, [[X, Y], [[[X, Y], Y], [[[[X, Y], Y], Y], Y]]]]]]",
)
(
    13,
    8,
    5,
    -2777 / 7264857600,
    "[[X, [X, [X, [[X, Y], [[[X, Y], Y], Y]]]]], [X, [X, [X, Y]]]]",
)
(
    13,
    7,
    6,
    -197 / 121080960,
    "[X, [X, [[X, [[X, Y], [[[X, Y], Y], Y]]], [X, [[X, Y], Y]]]]]",
)
(
    13,
    7,
    6,
    -491 / 201801600,
    "[X, [X, [[[X, [[X, Y], [[[X, Y], Y], Y]]], [X, Y]], [X, Y]]]]",
)
(
    13,
    6,
    7,
    -5581 / 1556755200,
    "[X, [X, [X, [[[X, Y], [[[X, Y], Y], Y]], [[[X, Y], Y], Y]]]]]",
)
(
    13,
    7,
    6,
    -2503 / 807206400,
    "[X, [[X, [X, [[X, Y], [[[[X, Y], Y], Y], Y]]]], [X, [X, Y]]]]",
)
(
    13,
    6,
    7,
    -751 / 94348800,
    "[X, [X, [X, [[[X, Y], [[[[X, Y], Y], Y], Y]], [[X, Y], Y]]]]]",
)
(
    13,
    6,
    7,
    -127 / 22464000,
    "[X, [X, [[X, [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]], [X, Y]]]]",
)
(
    13,
    5,
    8,
    -2803 / 4036032000,
    "[X, [X, [X, [[X, Y], [[[[[[[X, Y], Y], Y], Y], Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    2663 / 14529715200,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [X, [X, [[[X, Y], Y], Y]]]]]",
)
(
    13,
    9,
    4,
    229 / 3632428800,
    "[[X, [X, [X, [[X, Y], Y]]]], [[X, [X, [X, Y]]], [X, [X, Y]]]]",
)
(
    13,
    8,
    5,
    43 / 230630400,
    "[[X, [X, [X, [[X, Y], Y]]]], [X, [X, [[X, Y], [[X, Y], Y]]]]]",
)
(
    13,
    8,
    5,
    -1627 / 7264857600,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [[X, [[X, Y], Y]], [X, Y]]]]]",
)
(
    13,
    7,
    6,
    -2941 / 14529715200,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [X, [[[[X, Y], Y], Y], Y]]]]]",
)
(
    13,
    9,
    4,
    2663 / 3632428800,
    "[[X, [[X, [X, [[X, Y], Y]]], [X, [X, Y]]]], [X, [X, [X, Y]]]]",
)
(
    13,
    8,
    5,
    3023 / 14529715200,
    "[X, [[X, [X, [[X, Y], Y]]], [[X, [X, Y]], [X, [[X, Y], Y]]]]]",
)
(
    13,
    8,
    5,
    181 / 89689600,
    "[X, [[X, [X, [[X, Y], Y]]], [[[X, [X, Y]], [X, Y]], [X, Y]]]]",
)
(
    13,
    7,
    6,
    461 / 3632428800,
    "[X, [[X, [X, [[X, Y], Y]]], [X, [[X, Y], [[[X, Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    6437 / 4843238400,
    "[X, [[[X, [X, [[X, Y], Y]]], [X, [[X, Y], Y]]], [X, [X, Y]]]]",
)
(
    13,
    7,
    6,
    -587 / 302702400,
    "[X, [X, [[X, [[X, Y], Y]], [[X, [[X, Y], Y]], [[X, Y], Y]]]]]",
)
(
    13,
    7,
    6,
    -20459 / 3632428800,
    "[X, [X, [[X, [[X, Y], Y]], [[X, [[[X, Y], Y], Y]], [X, Y]]]]]",
)
(
    13,
    6,
    7,
    -43 / 27675648,
    "[X, [X, [[X, [[X, Y], Y]], [X, [[[[[X, Y], Y], Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    -857 / 2421619200,
    "[[X, [X, [[X, [[X, Y], Y]], [X, Y]]]], [X, [X, [[X, Y], Y]]]]",
)
(
    13,
    8,
    5,
    227 / 28378350,
    "[X, [[X, [[X, [[X, Y], Y]], [X, Y]]], [[X, [X, Y]], [X, Y]]]]",
)
(
    13,
    7,
    6,
    -373 / 227026800,
    "[X, [X, [[[X, [[X, Y], Y]], [X, Y]], [X, [[[X, Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    137887 / 7264857600,
    "[X, [[X, [[[X, [[X, Y], Y]], [X, Y]], [X, Y]]], [X, [X, Y]]]]",
)
(
    13,
    7,
    6,
    1153 / 121080960,
    "[X, [X, [[X, [[X, Y], Y]], [[X, Y], [[X, Y], [[X, Y], Y]]]]]]",
)
(
    13,
    7,
    6,
    2389 / 100900800,
    "[X, [X, [[[X, [[X, Y], Y]], [[X, Y], [[X, Y], Y]]], [X, Y]]]]",
)
(
    13,
    6,
    7,
    -6857 / 2075673600,
    "[X, [X, [[X, [[X, Y], Y]], [[X, Y], [[[[X, Y], Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    141 / 179379200,
    "[[X, [X, [[X, [[X, Y], Y]], [[X, Y], Y]]]], [X, [X, [X, Y]]]]",
)
(
    13,
    7,
    6,
    4493 / 2421619200,
    "[X, [[X, [[X, [[X, Y], Y]], [[X, Y], Y]]], [X, [[X, Y], Y]]]]",
)
(
    13,
    7,
    6,
    7913 / 302702400,
    "[X, [X, [[[[X, [[X, Y], Y]], [[X, Y], Y]], [X, Y]], [X, Y]]]]",
)
(
    13,
    6,
    7,
    409 / 94348800,
    "[X, [X, [X, [[[X, Y], Y], [[[X, Y], Y], [[[X, Y], Y], Y]]]]]]",
)
(
    13,
    7,
    6,
    167 / 242161920,
    "[X, [[X, [X, [[[X, Y], Y], [[[X, Y], Y], Y]]]], [X, [X, Y]]]]",
)
(
    13,
    6,
    7,
    1577 / 345945600,
    "[X, [X, [[X, [[[X, Y], Y], [[[X, Y], Y], Y]]], [[X, Y], Y]]]]",
)
(
    13,
    6,
    7,
    -1267 / 296524800,
    "[X, [X, [[X, [[[X, Y], Y], [[[[X, Y], Y], Y], Y]]], [X, Y]]]]",
)
(
    13,
    5,
    8,
    -16427 / 10378368000,
    "[X, [X, [X, [[[X, Y], Y], [[[[[[X, Y], Y], Y], Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    2161 / 7264857600,
    "[[X, [X, [X, [[[X, Y], Y], Y]]]], [X, [[X, [X, Y]], [X, Y]]]]",
)
(
    13,
    7,
    6,
    1343 / 10897286400,
    "[[X, [X, [X, [[[X, Y], Y], Y]]]], [X, [X, [[[X, Y], Y], Y]]]]",
)
(
    13,
    8,
    5,
    239 / 69189120,
    "[X, [[[X, [X, [[[X, Y], Y], Y]]], [X, [X, Y]]], [X, [X, Y]]]]",
)
(
    13,
    7,
    6,
    697 / 726485760,
    "[X, [[X, [X, [[[X, Y], Y], Y]]], [X, [[X, Y], [[X, Y], Y]]]]]",
)
(
    13,
    7,
    6,
    5627 / 1816214400,
    "[X, [[X, [X, [[[X, Y], Y], Y]]], [[X, [[X, Y], Y]], [X, Y]]]]",
)
(
    13,
    6,
    7,
    -1097 / 2075673600,
    "[X, [X, [[X, [[[X, Y], Y], Y]], [X, [[[[X, Y], Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    7099 / 3632428800,
    "[[X, [X, [[X, [[[X, Y], Y], Y]], [X, Y]]]], [X, [X, [X, Y]]]]",
)
(
    13,
    7,
    6,
    6509 / 1816214400,
    "[X, [[X, [[X, [[[X, Y], Y], Y]], [X, Y]]], [X, [[X, Y], Y]]]]",
)
(
    13,
    7,
    6,
    1325 / 72648576,
    "[X, [X, [[[[X, [[[X, Y], Y], Y]], [X, Y]], [X, Y]], [X, Y]]]]",
)
(
    13,
    6,
    7,
    1219 / 518918400,
    "[X, [X, [[X, [[[X, Y], Y], Y]], [[X, Y], [[[X, Y], Y], Y]]]]]",
)
(
    13,
    7,
    6,
    6757 / 605404800,
    "[X, [[X, [[X, [[[X, Y], Y], Y]], [[X, Y], Y]]], [X, [X, Y]]]]",
)
(
    13,
    6,
    7,
    367 / 29652480,
    "[X, [X, [[[X, [[[X, Y], Y], Y]], [[X, Y], Y]], [[X, Y], Y]]]]",
)
(
    13,
    6,
    7,
    5813 / 518918400,
    "[X, [X, [[[X, [[[X, Y], Y], Y]], [[[X, Y], Y], Y]], [X, Y]]]]",
)
(
    13,
    5,
    8,
    -6427 / 5189184000,
    "[X, [X, [X, [[[[X, Y], Y], Y], [[[[[X, Y], Y], Y], Y], Y]]]]]",
)
(
    13,
    7,
    6,
    -1457 / 7264857600,
    "[[X, [X, [X, [[[[X, Y], Y], Y], Y]]]], [X, [X, [[X, Y], Y]]]]",
)
(
    13,
    7,
    6,
    5987 / 2421619200,
    "[X, [[X, [X, [[[[X, Y], Y], Y], Y]]], [[X, [X, Y]], [X, Y]]]]",
)
(
    13,
    6,
    7,
    241 / 518918400,
    "[X, [[X, [X, [[[[X, Y], Y], Y], Y]]], [X, [[[X, Y], Y], Y]]]]",
)
(
    13,
    7,
    6,
    14429 / 1210809600,
    "[X, [[X, [[X, [[[[X, Y], Y], Y], Y]], [X, Y]]], [X, [X, Y]]]]",
)
(
    13,
    6,
    7,
    14731 / 2075673600,
    "[X, [X, [[X, [[[[X, Y], Y], Y], Y]], [[X, Y], [[X, Y], Y]]]]]",
)
(
    13,
    6,
    7,
    23279 / 1037836800,
    "[X, [X, [[[X, [[[[X, Y], Y], Y], Y]], [[X, Y], Y]], [X, Y]]]]",
)
(
    13,
    5,
    8,
    1831 / 1383782400,
    "[X, [X, [[X, [[[[X, Y], Y], Y], Y]], [[[[X, Y], Y], Y], Y]]]]",
)
(
    13,
    7,
    6,
    691 / 1651104000,
    "[[X, [X, [X, [[[[[X, Y], Y], Y], Y], Y]]]], [X, [X, [X, Y]]]]",
)
(
    13,
    6,
    7,
    73 / 123552000,
    "[X, [[X, [X, [[[[[X, Y], Y], Y], Y], Y]]], [X, [[X, Y], Y]]]]",
)
(
    13,
    6,
    7,
    17011 / 1729728000,
    "[X, [X, [[[X, [[[[[X, Y], Y], Y], Y], Y]], [X, Y]], [X, Y]]]]",
)
(
    13,
    5,
    8,
    797 / 288288000,
    "[X, [X, [[X, [[[[[X, Y], Y], Y], Y], Y]], [[[X, Y], Y], Y]]]]",
)
(
    13,
    6,
    7,
    1009 / 648648000,
    "[X, [[X, [X, [[[[[[X, Y], Y], Y], Y], Y], Y]]], [X, [X, Y]]]]",
)
(
    13,
    5,
    8,
    4391 / 1729728000,
    "[X, [X, [[X, [[[[[[X, Y], Y], Y], Y], Y], Y]], [[X, Y], Y]]]]",
)
(
    13,
    5,
    8,
    30773 / 18162144000,
    "[X, [X, [[X, [[[[[[[X, Y], Y], Y], Y], Y], Y], Y]], [X, Y]]]]",
)
(
    13,
    4,
    9,
    2663 / 32691859200,
    "[X, [X, [X, [[[[[[[[[X, Y], Y], Y], Y], Y], Y], Y], Y], Y]]]]",
)
(
    13,
    9,
    4,
    -61 / 155675520,
    "[[X, [X, [X, Y]]], [[X, [X, [X, Y]]], [X, [X, [[X, Y], Y]]]]]",
)
(
    13,
    9,
    4,
    -1513 / 5448643200,
    "[[X, [X, [X, Y]]], [X, [[X, [X, Y]], [[X, [X, Y]], [X, Y]]]]]",
)
(
    13,
    8,
    5,
    -8341 / 7264857600,
    "[[X, [X, [X, Y]]], [X, [[X, [X, Y]], [X, [[[X, Y], Y], Y]]]]]",
)
(
    13,
    9,
    4,
    8441 / 5448643200,
    "[[X, [X, [X, Y]]], [[X, [[X, [X, Y]], [X, Y]]], [X, [X, Y]]]]",
)
(
    13,
    8,
    5,
    8543 / 7264857600,
    "[[X, [X, [X, Y]]], [X, [X, [[X, Y], [[X, Y], [[X, Y], Y]]]]]]",
)
(
    13,
    8,
    5,
    7573 / 7264857600,
    "[[X, [X, [X, Y]]], [X, [[X, [[X, Y], [[X, Y], Y]]], [X, Y]]]]",
)
(
    13,
    7,
    6,
    -83 / 72648576,
    "[[X, [X, [X, Y]]], [X, [X, [[X, Y], [[[[X, Y], Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    4181 / 14529715200,
    "[[X, [X, [X, Y]]], [[X, [X, [[X, Y], Y]]], [X, [[X, Y], Y]]]]",
)
(
    13,
    8,
    5,
    40169 / 7264857600,
    "[[X, [X, [X, Y]]], [X, [[[X, [[X, Y], Y]], [X, Y]], [X, Y]]]]",
)
(
    13,
    7,
    6,
    71 / 1816214400,
    "[[X, [X, [X, Y]]], [X, [X, [[[X, Y], Y], [[[X, Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    7109 / 3632428800,
    "[[X, [X, [X, Y]]], [[X, [X, [[[X, Y], Y], Y]]], [X, [X, Y]]]]",
)
(
    13,
    7,
    6,
    5903 / 1816214400,
    "[[X, [X, [X, Y]]], [X, [[X, [[[X, Y], Y], Y]], [[X, Y], Y]]]]",
)
(
    13,
    7,
    6,
    3301 / 908107200,
    "[[X, [X, [X, Y]]], [X, [[X, [[[[X, Y], Y], Y], Y]], [X, Y]]]]",
)
(
    13,
    6,
    7,
    691 / 1415232000,
    "[[X, [X, [X, Y]]], [X, [X, [[[[[[X, Y], Y], Y], Y], Y], Y]]]]",
)
(
    13,
    9,
    4,
    17 / 110073600,
    "[[[X, [X, [X, Y]]], [X, [X, Y]]], [X, [[X, [X, Y]], [X, Y]]]]",
)
(
    13,
    8,
    5,
    3403 / 7264857600,
    "[[[X, [X, [X, Y]]], [X, [X, Y]]], [X, [X, [[[X, Y], Y], Y]]]]",
)
(
    13,
    9,
    4,
    -1643 / 7264857600,
    "[[[[X, [X, [X, Y]]], [X, [X, Y]]], [X, [X, Y]]], [X, [X, Y]]]",
)
(
    13,
    8,
    5,
    -37 / 80720640,
    "[X, [[X, [X, Y]], [[X, [X, Y]], [X, [[X, Y], [[X, Y], Y]]]]]]",
)
13, 8, 5, -5 / 366912, "[X, [[X, [X, Y]], [[X, [X, Y]], [[X, [[X, Y], Y]], [X, Y]]]]]"
(
    13,
    7,
    6,
    -20173 / 3632428800,
    "[X, [[X, [X, Y]], [[X, [X, Y]], [X, [[[[X, Y], Y], Y], Y]]]]]",
)
(
    13,
    8,
    5,
    -229 / 151351200,
    "[X, [[X, [X, Y]], [[[X, [X, Y]], [X, Y]], [X, [[X, Y], Y]]]]]",
)
(
    13,
    8,
    5,
    3299 / 605404800,
    "[X, [[X, [X, Y]], [[[[X, [X, Y]], [X, Y]], [X, Y]], [X, Y]]]]",
)
(
    13,
    7,
    6,
    10657 / 1816214400,
